section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,46383
analyzeCount,1,46384
axleTravelRatio,1,-28.24289012992153
compressionSpeedRatio,1,-29.800607649741583
reboundSpeedRatio,1,-38.63378830869449
section,forkResults
movingCount,1,46383
filterRatio,1,57
timeComp,1,8590
timeReb,1,18173
axleMin,1,24.2375
axleMax,1,154.86
axleAvg,1,66.09715187348934
axleMovingAvg,1,66.31289847339765
segments,1,1
maxCompressionSpeed,1,3910.4999999999995
avgCompressionSpeed,1,1078.987476099427
compressionSpeed95,1,2585.7499999999995
maxReboundSpeed,1,1680.1000000000013
avgReboundSpeed,1,630.6903100775196
reboundSpeed95,1,1084.9000000000008
axleTravelTotal,1,64205.90249999759
totalTravelComp,1,19792.671250000018
totalTravelReb,1,27380.576250000046
histogramLPS,42,20,160.0,0,0,0,2201,3256,4911,7502,5464,5765,4900,4252,3265,2259,1270,671,424,119,73,40,12,0,0,0,2201,3256,4911,7502,5464,5765,4900,4252,3265,2259,1270,671,424,119,73,40,12
gforceTotalComp,1,17018.702245602
gforceTotalReb,1,27894.62902638827
gforceMin,1,-16.0
gforceMax,1,10.32
gforceAbsTotal,1,74086.2782476725
gforceTotalFlat,1,29172.94697568223
travelToForceRatioComp,1,1.1629953309227719
travelToForceRatioReb,1,0.9815716216945588
travelToForceRatioAll,1,0.8666368998231422
vibrationCompression,1,1.9812226129920836
vibrationRebound,1,1.5349490467390232
vibrationOverall,1,1.5972378028559955
forceBreakdownTable,9,1.1868853899607419,70.81518407298873,44.43140781782376,71.2331202031759,28.510760668240927,44.69925293908812,27.57999440686335,0.6740552587703492,10.869339243088124
invalidSamples,1,0
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
157,167,31.52,79.59,2.43,1823.10,1948.50,55.93
170,181,79.26,92.18,1.54,470.75,503.00,87.61
344,355,62.45,77.41,1.43,552.75,591.00,68.64
397,421,54.14,94.60,1.63,853.20,906.00,64.69
477,504,42.90,57.91,1.39,264.50,300.50,50.66
800,810,37.79,55.63,0.55,594.65,635.00,44.65
813,826,53.59,87.35,1.22,820.95,906.00,63.53
935,959,62.43,96.07,1.58,644.20,722.50,69.05
1109,1122,48.76,73.42,0.90,608.10,637.50,56.36
1150,1160,35.32,52.09,0.68,765.90,849.00,45.70
1166,1180,44.86,77.53,2.44,860.55,937.50,53.83
1209,1233,33.97,122.37,1.81,1176.15,1206.00,73.59
1421,1445,43.22,125.58,2.36,1360.85,1479.50,57.84
1514,1538,37.17,62.23,0.31,383.30,398.00,51.03
1627,1639,41.85,54.17,0.79,371.65,383.50,47.43
1688,1698,45.65,100.12,5.44,1944.00,2097.00,63.20
1797,1824,53.28,67.89,0.74,368.05,383.50,61.46
1957,1977,45.87,74.88,0.47,559.95,586.50,58.99
2052,2076,46.91,75.28,0.81,457.20,471.00,59.43
2081,2092,75.22,93.32,1.32,632.35,664.00,85.45
2153,2167,28.54,84.72,1.98,1741.80,1851.00,50.57
2245,2255,32.44,111.33,4.11,3063.55,3325.00,62.40
2390,2410,29.28,98.83,2.38,1951.25,2085.50,61.80
2491,2503,33.06,49.72,1.23,430.55,444.50,39.42
2529,2548,36.20,121.98,4.02,2471.45,2712.50,64.21
2606,2629,32.44,106.78,1.97,1447.40,1511.00,50.22
2696,2706,30.80,85.12,3.87,2340.25,2561.50,57.81
2714,2736,80.13,115.16,1.59,568.50,595.50,106.28
2794,2822,28.59,111.26,3.16,2864.80,3071.50,68.37
2862,2895,36.86,103.54,1.60,771.85,827.50,94.63
3017,3041,49.04,117.32,3.52,1261.70,1284.50,85.70
3168,3186,31.92,47.27,0.87,511.70,561.50,41.43
3203,3218,31.60,61.86,1.40,782.90,849.50,38.91
