section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,47547
analyzeCount,1,47548
axleTravelRatio,1,-37.62633295179727
compressionSpeedRatio,1,-29.870657280108663
reboundSpeedRatio,1,-39.422895356781964
section,forkResults
movingCount,1,47547
filterRatio,1,59
timeComp,1,9389
timeReb,1,18887
axleMin,1,20.137500000000003
axleMax,1,156.2775
axleAvg,1,63.09507822360089
axleMovingAvg,1,63.37338111580193
segments,1,1
maxCompressionSpeed,1,3660.300000000001
avgCompressionSpeed,1,953.0762681159422
compressionSpeed95,1,2370.149999999999
maxReboundSpeed,1,1740.6
avgReboundSpeed,1,593.6481042654026
reboundSpeed95,1,1035.6499999999992
axleTravelTotal,1,66088.75499999363
totalTravelComp,1,19274.47500000001
totalTravelReb,1,28190.503749999985
histogramLPS,42,20,160.0,0,0,479,3904,3168,4771,7518,5884,5704,5187,4001,3022,1932,1143,556,196,33,17,23,2,0,0,479,3904,3168,4771,7517,5885,5704,5187,4001,3022,1932,1143,556,196,33,17,23,2
gforceTotalComp,1,16983.764209220175
gforceTotalReb,1,28541.079762345365
gforceMin,1,-16.0
gforceMax,1,12.11
gforceAbsTotal,1,73803.34690165667
gforceTotalFlat,1,28278.50293009113
travelToForceRatioComp,1,1.1348765069133644
travelToForceRatioReb,1,0.987716792242461
travelToForceRatioAll,1,0.8954709748875919
vibrationCompression,1,1.808900224648011
vibrationRebound,1,1.5111494553049911
vibrationOverall,1,1.552186146665615
forceBreakdownTable,9,2.615849063408544,72.9374141551076,46.70284032358141,78.2481176066243,26.981951448466923,46.10760684850907,19.136033329967148,0.08063439642547426,7.18955282790952
invalidSamples,1,8
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
6924,6939,88.94,103.30,3.13,366.95,383.00,96.28
6980,6993,29.11,42.28,0.40,406.80,454.50,38.53
7022,7033,52.87,75.48,0.84,936.55,1045.00,66.77
7046,7059,71.76,84.27,2.08,360.45,405.00,74.99
7156,7169,44.72,70.98,1.73,1002.70,1091.50,55.82
7194,7211,38.42,87.81,2.72,1157.35,1243.00,70.45
7280,7293,42.08,109.19,3.97,2333.95,2539.00,80.66
7331,7343,41.92,79.56,3.95,1514.35,1636.00,59.38
7359,7369,54.62,66.85,3.97,514.95,571.50,61.55
7412,7428,40.88,98.80,2.64,1609.25,1677.50,77.15
7603,7615,77.24,126.89,4.83,1622.15,1721.00,109.86
7805,7834,39.01,88.58,1.17,785.35,832.00,60.70
7890,7900,33.27,74.56,2.97,1447.50,1540.50,48.91
7919,7930,51.69,79.19,2.73,914.75,984.50,67.97
8097,8115,31.98,52.43,1.16,501.50,519.50,39.03
8140,8152,48.76,70.06,1.22,571.30,593.50,55.94
8159,8181,57.61,88.41,2.16,446.95,469.00,83.03
8208,8221,45.62,76.85,0.96,791.40,825.00,56.40
8304,8326,44.25,85.89,2.04,874.75,964.00,53.16
8466,8477,33.80,76.04,2.19,1347.55,1415.50,49.85
8502,8523,54.67,82.60,1.32,512.85,537.00,64.06
8554,8566,32.23,52.50,1.50,635.50,671.50,39.62
8569,8584,52.30,68.32,0.96,381.75,412.50,64.33
8609,8624,45.06,57.16,0.84,427.65,456.00,50.27
8681,8695,33.65,85.29,1.28,1285.05,1306.50,57.65
8774,8788,36.03,65.50,0.74,890.55,927.00,50.67
8818,8840,43.06,81.05,2.10,721.70,747.50,52.99
8920,8930,51.48,80.38,1.64,784.30,803.50,70.46
8948,8969,31.04,72.70,2.00,1185.90,1284.00,42.68
8982,8998,57.59,86.35,2.52,552.85,586.00,79.34
9115,9132,28.16,105.02,2.64,1927.70,2043.50,77.05
9153,9169,59.44,73.53,1.35,462.25,493.00,68.42
9241,9263,26.19,73.65,1.76,1249.60,1348.00,38.37
9333,9347,26.42,91.30,3.78,1829.50,1924.00,48.83
9372,9395,40.99,99.04,1.42,1122.10,1181.50,60.77
9420,9434,33.92,55.80,1.02,613.05,646.50,49.35
9441,9451,44.17,79.68,2.79,1279.45,1367.50,56.53
9484,9495,40.29,93.70,3.76,1540.95,1626.00,57.59
9528,9538,56.07,79.13,1.73,780.00,813.00,68.19
9655,9666,31.62,86.86,3.60,2167.15,2321.50,59.06
9692,9711,58.59,76.14,1.94,443.45,488.00,63.84
9825,9837,72.51,108.34,3.21,1078.25,1172.00,85.47
9909,9920,39.03,49.60,0.91,374.20,395.50,43.51
9959,9972,39.72,55.41,1.04,361.15,376.00,44.14
9974,9997,55.13,125.00,2.24,1086.80,1109.00,85.64
10077,10092,26.41,66.84,0.67,999.35,1086.50,57.84
10126,10136,33.26,47.99,1.31,587.05,629.50,41.10
10170,10180,55.41,67.74,1.48,403.30,422.50,60.13
10181,10195,67.71,89.96,3.37,465.75,490.50,84.39
10217,10236,44.36,67.84,1.56,604.75,629.50,52.59
10366,10376,62.46,99.73,5.46,1456.80,1575.00,78.33
10527,10538,30.07,58.89,2.11,1000.25,1067.00,41.48
10574,10585,52.38,78.09,1.76,846.05,896.00,62.57
10748,10764,74.23,113.39,2.42,968.60,1035.50,85.49
10851,10868,69.85,90.28,0.87,638.15,671.00,80.52
10891,10903,51.89,80.06,1.96,723.90,762.00,59.92
10934,10949,44.64,71.98,1.58,527.10,552.00,51.43
11010,11022,72.02,86.86,1.38,525.10,554.50,79.93
11159,11175,78.94,119.88,2.26,1158.90,1201.50,97.82
11208,11221,50.03,62.49,1.00,297.55,302.50,55.11
11289,11319,44.56,54.90,0.22,116.85,120.00,46.55
11360,11391,44.40,78.22,0.47,428.20,439.00,69.99
11404,11422,61.81,88.30,1.56,750.50,794.00,79.72
11459,11480,51.09,106.32,1.80,1245.50,1335.50,87.98
11518,11538,37.38,69.90,1.41,539.50,547.00,53.34
11575,11588,28.04,47.44,1.13,577.20,606.00,35.20
11594,11630,45.91,103.68,1.38,711.95,732.50,59.11
11806,11829,48.76,100.82,1.83,894.90,930.00,75.05
11901,11913,38.42,73.60,2.16,1264.50,1365.00,51.46
11956,11968,53.03,96.93,3.20,1353.00,1482.00,63.78
12033,12044,27.45,44.61,1.60,490.15,500.50,36.77
12082,12105,53.13,90.74,1.23,539.40,552.00,78.08
12255,12288,38.98,87.49,1.46,488.35,523.00,81.27
12495,12518,24.59,52.26,0.83,500.85,532.50,30.01
12551,12578,48.57,74.60,1.37,607.85,624.50,58.87
12626,12637,62.25,74.31,1.73,407.45,432.50,67.40
12700,12735,51.55,79.58,0.73,357.40,371.50,73.86
12786,12801,40.71,58.48,0.51,566.20,593.50,50.14
12834,12860,41.13,68.14,0.84,506.85,522.00,55.68
12881,12894,44.23,71.85,2.14,807.25,842.50,54.16
12986,13001,42.39,61.75,1.73,470.00,486.50,54.38
13007,13029,55.69,82.09,1.23,629.55,669.00,72.77
13131,13142,26.81,56.17,2.15,1050.10,1111.00,41.91
13153,13165,48.45,66.56,1.21,691.25,752.00,57.99
13320,13330,70.19,90.24,2.91,802.25,872.00,80.21
13354,13374,40.52,84.69,2.20,1150.85,1235.00,69.99
13405,13415,26.97,70.16,4.61,1610.85,1723.50,46.11
13445,13457,30.71,42.63,2.41,294.45,307.50,34.10
13517,13533,44.28,71.81,1.16,669.55,718.00,52.69
13643,13653,93.72,106.54,1.84,448.50,478.50,100.47
13741,13751,43.50,74.73,1.89,1035.45,1081.50,55.91
13839,13854,39.73,80.39,1.78,932.90,969.50,52.04
13944,13964,32.41,63.10,1.33,901.35,940.50,46.15
13993,14008,56.50,86.22,2.29,625.20,673.50,63.14
14148,14178,21.88,109.03,2.74,1959.45,2104.50,47.34
14340,14356,56.05,81.28,1.25,530.25,556.50,75.39
14493,14507,22.26,109.32,4.06,3225.40,3515.50,58.96
14510,14523,108.98,147.71,3.39,1113.45,1198.50,136.77
14613,14623,62.59,78.97,1.91,544.35,564.00,71.17
14755,14765,25.15,104.31,5.40,2918.25,3084.00,67.66
14781,14797,86.93,126.75,3.77,986.25,1033.50,104.48
14825,14843,37.90,93.78,3.46,1563.30,1648.50,58.70
14857,14878,45.82,95.84,3.30,1162.25,1257.50,56.13
14911,14926,46.59,93.83,2.63,1199.55,1287.00,76.87
15003,15015,26.23,80.54,2.96,1440.90,1540.50,40.43
15023,15040,61.84,92.74,2.06,681.90,723.00,73.22
15106,15122,46.83,83.27,1.21,988.75,1060.00,73.38
15425,15438,78.95,101.77,1.66,632.05,695.50,87.02
15564,15590,40.61,77.88,0.76,721.60,749.50,63.83
15666,15678,32.02,80.75,2.13,1839.50,1989.50,49.29
15758,15774,38.42,71.88,1.82,910.70,930.50,54.46
15838,15849,74.69,98.36,1.74,839.05,881.50,86.78
15930,15948,37.90,61.87,1.72,633.30,649.50,48.54
15949,15960,61.84,76.81,1.34,382.45,403.00,66.96
15967,15977,74.97,87.03,1.15,437.80,464.50,81.54
15981,15991,81.06,116.03,3.79,1160.25,1210.50,98.24
16014,16026,57.30,72.09,1.27,463.80,478.50,65.12
16123,16137,27.85,82.99,3.54,1293.90,1396.50,41.04
16165,16175,35.06,65.08,2.21,1157.70,1240.50,48.61
16199,16225,64.49,98.09,1.49,488.60,507.50,70.68
16389,16402,35.80,46.51,0.93,358.35,381.00,39.30
16458,16478,80.44,101.87,1.71,519.80,561.50,89.51
16584,16605,59.15,86.22,0.84,685.90,722.50,77.14
16708,16718,23.30,93.91,1.53,2607.75,2742.00,56.94
16751,16762,58.67,119.95,5.60,2061.95,2231.00,82.49
16932,16944,40.99,114.75,4.43,2405.00,2619.50,61.52
17033,17045,61.51,87.37,2.25,809.35,893.50,79.63
17097,17109,69.87,105.14,3.52,806.30,891.50,76.62
17156,17167,44.51,91.19,2.35,1632.50,1713.50,68.40
17233,17247,29.77,88.70,1.62,2009.95,2168.50,48.49
17280,17294,76.60,95.16,1.73,702.25,761.50,85.17
17342,17358,61.55,78.87,1.11,554.90,596.00,71.65
17364,17374,72.55,87.51,1.93,500.75,527.00,82.42
17437,17449,56.27,76.28,2.79,557.05,629.50,61.21
17464,17481,75.58,105.00,1.58,590.80,632.50,98.33
17503,17513,92.50,117.45,3.11,969.50,1035.50,103.23
17627,17644,30.55,41.01,0.30,375.85,403.00,34.52
17668,17682,43.73,84.67,1.44,1118.20,1193.50,69.25
17692,17702,79.01,98.52,1.28,585.90,606.00,87.26
17735,17747,62.64,97.79,1.21,1098.80,1145.00,78.96
17776,17792,75.93,117.36,1.09,1170.20,1215.50,93.23
17985,18002,49.99,74.50,1.48,830.20,878.50,62.00
18271,18284,70.94,89.21,1.10,515.15,530.00,78.28
18410,18420,26.59,76.44,4.57,2074.10,2261.00,47.55
18455,18473,37.00,61.11,1.75,704.35,754.00,46.06
18495,18534,47.46,97.09,1.57,597.25,632.50,64.67
18647,18667,61.04,97.14,1.99,739.35,817.50,70.31
18820,18845,24.30,37.55,0.51,273.70,290.50,28.29
18869,18884,40.07,61.15,1.59,472.30,488.50,48.09
19091,19101,29.08,54.29,2.06,1010.80,1091.50,43.92
19111,19132,52.02,91.09,2.72,678.35,705.50,67.10
19221,19244,33.12,63.98,0.26,576.85,598.00,44.21
19308,19332,38.03,86.81,1.52,738.95,791.00,46.26
19337,19347,82.82,94.04,2.46,418.45,466.00,90.12
19409,19419,33.30,78.26,2.84,1759.00,1892.50,52.51
19448,19458,53.46,65.82,1.80,465.80,500.00,60.20
19491,19504,49.66,76.77,2.13,921.45,979.50,59.77
19626,19648,67.08,88.03,1.32,509.75,549.50,79.22
19713,19729,45.66,99.91,2.01,1302.60,1365.00,83.27
19747,19759,69.88,120.94,3.71,1382.10,1408.50,99.17
19777,19796,60.54,98.61,2.11,739.05,754.50,78.54
19855,19866,28.26,79.56,4.15,2146.10,2300.00,56.44
19873,19897,65.40,94.49,1.01,587.00,612.50,82.81
19991,20005,52.19,64.08,1.73,364.35,385.50,60.05
20045,20069,31.27,72.78,1.63,547.65,591.00,55.17
