section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,17855
analyzeCount,1,17856
axleTravelRatio,1,-22.516647831585804
compressionSpeedRatio,1,-18.006136115594035
reboundSpeedRatio,1,-17.208292973921527
section,forkResults
movingCount,1,17854
filterRatio,1,62
timeComp,1,4014
timeReb,1,7139
axleMin,1,55.45
axleMax,1,159.4375
axleAvg,1,97.84240155600573
axleMovingAvg,1,97.93117975597252
segments,1,2
maxCompressionSpeed,1,3272.2500000000005
avgCompressionSpeed,1,952.9936708860763
compressionSpeed95,1,2252.6000000000004
maxReboundSpeed,1,1700.75
avgReboundSpeed,1,637.2641304347823
reboundSpeed95,1,1123.8500000000013
axleTravelTotal,1,26749.73000000019
totalTravelComp,1,8364.502499999997
totalTravelReb,1,11219.81
histogramLPS,42,20,160.0,0,0,0,0,0,0,10,1315,1178,1740,2062,2233,2357,2093,1806,1206,829,505,348,120,0,0,0,0,0,0,10,1315,1178,1740,2062,2233,2357,2093,1806,1206,829,505,348,120
gforceTotalComp,1,7272.712106442572
gforceTotalReb,1,10383.733781512612
gforceMin,1,-14.35
gforceMax,1,8.66
gforceAbsTotal,1,28625.467025209844
gforceTotalFlat,1,10969.021137254658
travelToForceRatioComp,1,1.1501214921721232
travelToForceRatioReb,1,1.080517878836219
travelToForceRatioAll,1,0.9344731380781409
vibrationCompression,1,1.8118365985158376
vibrationRebound,1,1.4545081638202286
vibrationOverall,1,1.603128753651985
forceBreakdownTable,9,0.0,0.0,0.0,20.78163426864754,92.65951182167879,63.052924313491026,79.21836573135246,7.34048817832122,36.94707568650899
invalidSamples,1,48
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
6077,6087,92.88,141.46,4.88,1750.75,1901.50,108.25
6132,6153,80.97,124.93,5.68,1598.60,1782.50,96.38
6160,6170,115.88,134.83,2.69,729.85,781.00,125.49
6253,6267,71.40,82.44,0.47,305.90,329.00,79.66
6273,6286,75.95,118.58,2.08,1189.95,1248.00,101.12
6424,6436,94.47,112.92,1.04,583.15,617.50,105.40
6544,6559,77.17,134.81,3.18,1682.15,1797.50,119.31
6599,6611,77.15,116.60,3.75,1382.10,1525.50,89.74
6630,6643,92.68,114.70,1.84,627.70,652.00,101.98
6688,6719,76.76,133.78,1.46,817.55,837.50,108.35
6892,6907,114.08,158.73,5.42,1456.90,1547.50,130.02
6972,6990,61.41,101.02,2.17,1381.65,1474.50,77.70
6992,7022,100.78,137.10,1.09,608.05,625.00,127.63
7106,7130,85.04,124.33,1.75,543.30,556.50,94.98
7192,7205,69.94,127.58,3.12,1611.75,1746.00,83.88
7261,7271,65.83,89.46,2.19,842.25,906.00,74.16
7307,7320,65.14,115.19,4.02,1919.95,2068.00,87.79
7451,7473,73.78,126.22,1.56,901.45,920.50,112.25
7532,7544,64.04,80.82,1.24,410.90,425.00,69.38
7573,7589,61.40,92.20,1.90,746.50,776.50,79.57
7634,7655,75.06,127.17,1.77,1179.55,1204.00,97.81
7802,7813,76.87,99.50,1.73,672.45,696.00,86.48
7839,7859,83.02,105.75,0.66,440.60,461.00,90.45
7889,7900,67.11,85.11,1.36,511.60,539.50,72.52
7903,7925,84.70,102.53,1.14,260.85,280.50,87.08
7949,7973,70.73,89.04,0.71,410.10,432.00,84.56
8025,8051,66.80,128.96,1.10,1162.50,1194.00,98.80
8120,8132,72.64,99.20,1.44,871.90,916.00,83.47
8163,8186,71.83,113.53,1.99,629.45,647.00,82.13
8266,8276,87.36,108.32,1.65,687.20,747.50,101.75
8296,8315,62.23,107.96,2.15,1386.55,1472.50,78.57
8330,8346,85.30,110.67,2.52,482.55,490.50,103.65
8374,8385,96.51,130.74,2.24,1116.20,1172.00,111.93
8426,8444,71.53,84.72,0.92,293.05,302.50,80.35
8496,8518,73.15,115.53,1.40,741.95,764.00,102.35
8577,8600,63.21,97.72,1.23,897.20,974.00,72.25
8611,8629,89.64,110.07,1.41,345.50,371.00,92.98
8677,8693,55.65,123.86,1.86,2389.55,2561.00,82.83
8709,8731,77.04,142.47,2.46,1137.10,1165.00,106.12
8759,8769,70.21,101.10,1.73,1074.20,1133.00,88.14
8780,8791,82.84,110.01,2.27,927.05,977.00,94.56
8819,8835,77.59,112.45,0.84,663.05,678.50,87.75
8860,8874,82.80,106.41,0.50,649.25,671.00,97.18
9073,9084,107.61,128.05,1.85,556.35,567.00,117.85
9160,9175,93.65,128.13,2.16,749.10,781.50,118.52
9210,9222,81.86,94.45,0.97,397.05,412.50,88.76
9277,9287,73.65,91.18,1.36,667.80,708.00,82.68
9311,9330,83.94,150.09,2.23,1184.00,1218.50,106.52
9447,9470,58.84,81.92,1.07,522.65,554.00,75.76
9495,9512,91.82,112.82,1.04,591.95,615.50,100.53
9515,9526,112.76,126.24,3.06,385.55,398.00,120.34
9552,9566,65.44,113.32,2.16,1259.95,1324.00,82.35
9588,9600,80.28,115.16,1.98,904.25,951.50,92.89
9628,9640,82.66,124.12,2.29,1782.05,1943.00,100.30
9689,9702,96.00,144.53,1.69,1056.75,1155.00,107.48
9851,9865,69.34,97.59,2.30,706.10,732.50,78.74
