Time,Front Axle,Rear Axle,Front Force,Rear Sensor,Rear Force
6159,101.01,65.39,-1.56,25.00,1.15
6160,100.57,65.34,-1.56,24.98,1.15
6161,99.79,65.34,-1.46,24.98,0.72
6162,98.66,65.52,-1.46,25.06,0.72
6163,97.44,65.84,-1.40,25.19,0.52
6164,96.42,66.11,-1.40,25.30,0.52
6165,95.78,66.61,-1.91,25.51,0.76
6166,95.34,67.15,-1.91,25.73,0.76
6167,95.20,67.51,-1.59,25.88,0.47
6168,95.20,67.55,-1.59,25.90,0.47
6169,95.15,67.46,-1.28,25.86,-0.33
6170,94.95,67.42,-1.28,25.84,-0.33
6171,94.66,67.33,-0.89,25.80,-0.99
6172,94.22,67.33,-0.89,25.80,-0.99
6173,93.68,67.33,-0.52,25.80,-0.95
6174,93.00,67.28,-0.52,25.78,-0.95
6175,92.17,67.33,-0.08,25.80,0.27
6176,91.29,67.28,-0.08,25.78,0.27
6177,90.41,67.28,-1.11,25.78,0.70
6178,89.73,67.01,-1.11,25.67,0.70
6179,89.09,66.70,-1.70,25.54,0.13
6180,88.80,66.20,-1.70,25.34,0.13
6181,88.80,65.70,-1.87,25.13,-0.42
6182,88.80,65.16,-1.87,24.91,-0.42
6183,88.65,64.89,-1.05,24.80,-0.12
6184,88.31,64.57,-1.05,24.67,-0.12
6185,87.53,64.26,-0.56,24.54,0.01
6186,86.36,64.12,-0.56,24.48,0.01
6187,84.89,63.89,0.01,24.39,0.02
6188,83.33,63.58,0.01,24.26,0.02
6189,82.06,63.26,-0.82,24.13,0.01
6190,81.47,62.76,-0.82,23.92,0.01
6191,81.52,62.03,-2.20,23.63,0.42
6192,81.57,61.12,-2.20,23.25,0.42
6193,81.87,60.35,-2.40,22.94,-0.07
6194,82.21,59.71,-2.40,22.68,-0.07
6195,82.50,59.30,-1.18,22.51,-0.81
6196,82.60,59.16,-1.18,22.45,-0.81
6197,82.60,59.16,-0.38,22.45,-0.19
6198,82.60,59.16,-0.38,22.45,-0.19
6199,82.70,59.16,-0.62,22.45,0.97
6200,82.74,58.98,-0.62,22.38,0.97
6201,82.79,58.43,-1.19,22.16,0.39
6202,83.13,57.84,-1.19,21.91,0.39
6203,83.48,57.15,-1.20,21.64,-0.63
6204,84.16,56.37,-1.20,21.32,-0.63
6205,85.14,55.54,-0.56,20.98,-0.25
6206,86.16,54.62,-0.56,20.61,-0.25
6207,86.85,53.70,-0.82,20.24,-0.38
6208,87.19,52.59,-0.82,19.79,-0.38
6209,87.14,51.66,-1.42,19.42,-0.06
6210,87.19,50.68,-1.42,19.03,-0.06
6211,86.99,49.71,-0.56,18.64,-0.10
6212,86.50,48.78,-0.56,18.27,-0.10
6213,85.82,48.03,-0.74,17.97,0.06
6214,84.99,47.19,-0.74,17.64,0.06
6215,84.16,46.34,-0.32,17.30,0.01
6216,83.48,45.26,-0.32,16.87,0.01
6217,82.79,44.18,-1.02,16.45,0.74
6218,82.26,43.00,-1.02,15.98,0.74
6219,81.77,41.82,-2.01,15.52,0.18
6220,81.47,40.49,-2.01,14.99,0.18
6221,81.08,39.16,-2.20,14.47,-0.20
6222,80.69,38.01,-2.20,14.03,-0.20
6223,80.25,37.10,-1.45,13.67,0.39
6224,79.72,36.62,-1.45,13.49,0.39
6225,79.13,36.00,-1.09,13.25,0.06
6226,78.40,35.37,-1.09,13.00,0.06
6227,77.28,34.65,-0.37,12.72,-0.48
6228,75.96,34.31,-0.37,12.59,-0.48
6229,74.64,34.12,-0.69,12.52,0.11
6230,73.52,34.07,-0.69,12.50,0.11
6231,72.69,34.12,-0.45,12.52,0.28
6232,72.10,34.16,-0.45,12.54,0.28
6233,71.71,34.16,-0.90,12.54,0.27
6234,71.32,34.16,-0.90,12.54,0.27
6235,70.88,34.12,-2.02,12.52,-0.31
6236,70.68,34.12,-2.02,12.52,-0.31
6237,70.63,34.02,-2.60,12.48,-0.66
6238,70.83,33.92,-2.60,12.45,-0.66
6239,71.07,33.73,-2.16,12.37,-0.72
6240,71.56,33.58,-2.16,12.32,-0.72
6241,71.86,33.58,-0.82,12.32,-0.04
6242,71.86,33.73,-0.82,12.37,-0.04
6243,71.37,33.83,0.71,12.41,0.98
6244,70.24,33.83,0.71,12.41,0.98
6245,68.10,33.87,2.32,12.43,0.15
6246,65.31,33.78,2.32,12.39,0.15
6247,62.04,33.54,1.85,12.30,-0.85
6248,58.72,33.20,1.85,12.17,-0.85
6249,55.64,32.71,2.77,11.98,-1.15
6250,52.96,32.28,2.77,11.81,-1.15
6251,52.28,31.74,-1.29,11.61,1.58
6252,54.28,31.25,-1.29,11.42,1.58
6253,58.53,30.91,-7.15,11.29,2.08
6254,63.51,30.91,-7.15,11.29,2.08
6255,67.51,31.30,-6.08,11.44,0.32
6256,69.66,31.60,-6.08,11.55,0.32
6257,70.20,31.84,-0.67,11.65,-0.50
6258,69.95,31.94,-0.67,11.68,-0.50
6259,69.17,31.89,3.04,11.66,-0.24
6260,68.14,31.79,3.04,11.63,-0.24
6261,66.83,31.79,1.45,11.63,0.77
6262,65.51,31.79,1.45,11.63,0.77
6263,64.53,31.84,-0.05,11.65,0.23
6264,64.14,31.84,-0.05,11.65,0.23
6265,64.14,31.89,-2.06,11.66,-0.10
6266,64.29,31.94,-2.06,11.68,-0.10
6267,64.58,32.13,-2.16,11.76,-0.49
6268,65.12,32.37,-2.16,11.85,-0.49
6269,65.70,32.71,-0.31,11.98,0.90
6270,66.00,32.91,-0.31,12.06,0.90
6271,66.04,33.00,-0.15,12.09,1.27
6272,66.04,33.00,-0.15,12.09,1.27
6273,66.04,32.91,-0.46,12.06,0.07
6274,66.00,32.76,-0.46,12.00,0.07
6275,66.00,32.37,-0.59,11.85,-0.36
6276,66.09,31.79,-0.59,11.63,-0.36
6277,66.04,31.21,-1.34,11.40,-0.37
6278,66.09,30.57,-1.34,11.16,-0.37
6279,65.85,29.99,-0.67,10.94,-0.11
6280,65.41,29.30,-0.67,10.68,-0.11
6281,64.48,28.67,0.49,10.44,-0.02
6282,63.36,28.03,0.49,10.19,-0.02
6283,61.99,27.34,0.59,9.93,-0.05
6284,60.33,26.70,0.59,9.69,-0.05
6285,58.18,26.11,0.40,9.47,-0.82
6286,55.55,25.66,0.40,9.30,-0.82
6287,53.06,25.37,1.11,9.19,-0.49
6288,51.10,25.37,1.11,9.19,-0.49
6289,49.88,25.66,0.14,9.30,0.35
6290,49.64,26.16,0.14,9.49,0.35
6291,49.74,27.00,-2.45,9.80,2.24
6292,49.83,28.27,-2.45,10.29,2.24
6293,49.88,30.33,-3.19,11.07,2.75
6294,49.88,33.44,-3.19,12.26,2.75
6295,49.98,37.10,-2.31,13.67,0.91
6296,50.37,41.06,-2.31,15.22,0.91
6297,50.96,44.51,-1.92,16.58,0.06
6298,52.13,47.00,-1.92,17.56,0.06
6299,54.13,48.12,-0.71,18.01,-0.02
6300,56.67,48.26,-0.71,18.06,-0.02
6301,59.60,48.03,-1.82,17.97,-0.94
6302,62.92,47.89,-1.82,17.92,-0.94
6303,66.24,47.61,-1.45,17.80,-0.55
6304,69.61,47.42,-1.45,17.73,-0.55
6305,73.12,47.19,-0.77,17.64,-0.06
6306,76.74,47.00,-0.77,17.56,-0.06
6307,80.25,46.91,-0.92,17.52,0.56
6308,83.67,46.91,-0.92,17.52,0.56
6309,87.09,46.91,-2.25,17.52,1.70
6310,90.36,46.91,-2.25,17.52,1.70
6311,93.24,46.81,-3.56,17.49,1.20
6312,94.66,46.53,-3.56,17.38,1.20
6313,94.90,46.20,-3.98,17.25,0.06
6314,94.90,45.92,-3.98,17.13,0.06
6315,94.90,45.64,-0.96,17.02,-0.57
6316,94.95,45.31,-0.96,16.89,-0.57
6317,95.00,45.17,-1.67,16.84,-0.30
6318,95.10,44.94,-1.67,16.74,-0.30
6319,95.44,44.89,-1.14,16.72,-0.06
6320,95.83,44.70,-1.14,16.65,-0.06
6321,96.17,44.70,-0.97,16.65,0.69
6322,96.22,44.37,-0.97,16.52,0.69
6323,96.22,43.85,-1.16,16.32,-0.29
6324,96.17,43.19,-1.16,16.05,-0.29
6325,96.12,42.29,-0.68,15.70,-1.05
6326,96.12,41.39,-0.68,15.35,-1.05
6327,96.12,40.73,-0.58,15.09,-0.54
6328,96.42,40.58,-0.58,15.03,-0.54
6329,97.20,40.92,-0.64,15.16,0.33
6330,98.52,41.53,-0.64,15.40,0.33
6331,100.13,42.43,-2.97,15.76,1.62
6332,101.30,43.19,-2.97,16.05,1.62
6333,102.08,43.43,-3.59,16.15,2.86
6334,102.42,43.29,-3.59,16.09,2.86
6335,102.62,43.10,-2.85,16.02,-0.26
6336,103.01,42.67,-2.85,15.85,-0.26
6337,103.74,42.06,0.01,15.61,-1.50
6338,104.77,41.58,0.01,15.42,-1.50
6339,105.89,41.49,1.51,15.39,-1.63
6340,106.87,41.82,1.51,15.52,-1.63
6341,107.26,42.81,0.94,15.91,1.29
6342,107.26,44.32,0.94,16.50,1.29
6343,107.06,45.78,-2.29,17.08,2.08
6344,107.01,46.67,-2.29,17.43,2.08
6345,106.87,46.86,-4.57,17.51,2.13
6346,106.91,46.81,-4.57,17.49,2.13
6347,106.87,46.91,-1.53,17.52,-1.02
6348,107.06,46.95,-1.53,17.54,-1.02
6349,107.21,47.05,0.82,17.58,0.03
6350,107.40,47.09,0.82,17.60,0.03
6351,107.50,47.05,-0.87,17.58,0.60
6352,107.45,47.00,-0.87,17.56,0.60
6353,107.11,46.72,-2.43,17.45,1.01
6354,106.67,46.16,-2.43,17.23,1.01
6355,106.33,45.45,-2.07,16.95,0.38
6356,105.89,44.70,-2.07,16.65,0.38
6357,105.69,44.28,0.16,16.48,-0.66
6358,105.30,44.23,0.16,16.46,-0.66
6359,104.81,44.32,0.48,16.50,0.63
6360,104.23,44.51,0.48,16.58,0.63
6361,103.50,44.61,-1.14,16.61,2.42
6362,102.62,44.51,-1.14,16.58,2.42
6363,101.49,44.37,-3.13,16.52,1.91
6364,100.13,43.99,-3.13,16.37,1.91
6365,98.81,43.38,-1.45,16.13,0.31
6366,97.78,42.72,-1.45,15.87,0.31
6367,96.90,42.10,0.12,15.63,-0.27
6368,96.17,41.53,0.12,15.40,-0.27
6369,95.34,41.01,-0.28,15.20,0.18
6370,94.46,40.92,-0.28,15.16,0.18
6371,93.73,41.15,-1.33,15.25,0.92
6372,92.80,41.58,-1.33,15.42,0.92
6373,91.78,42.15,-1.38,15.65,1.84
6374,90.90,42.67,-1.38,15.85,1.84
6375,89.97,42.81,-1.44,15.91,1.12
6376,88.99,42.81,-1.44,15.91,1.12
6377,88.07,42.72,-1.20,15.87,0.13
6378,87.24,42.53,-1.20,15.79,0.13
6379,86.55,42.24,-0.79,15.68,-0.32
6380,86.06,42.01,-0.79,15.59,-0.32
6381,85.77,41.96,-1.00,15.57,-0.36
6382,85.72,41.91,-1.00,15.55,-0.36
6383,85.72,41.96,-0.67,15.57,-0.25
6384,85.62,42.01,-0.67,15.59,-0.25
6385,85.53,41.96,-0.96,15.57,0.58
6386,85.58,42.01,-0.96,15.59,0.58
6387,85.62,41.91,-2.47,15.55,0.33
6388,85.82,41.82,-2.47,15.52,0.33
6389,86.31,41.68,-2.67,15.46,-0.13
6390,87.43,41.63,-2.67,15.44,-0.13
6391,89.09,41.68,-1.41,15.46,-0.54
6392,90.61,41.91,-1.41,15.55,-0.54
6393,91.78,42.15,-1.98,15.65,0.30
6394,92.36,42.39,-1.98,15.74,0.30
6395,92.41,42.43,-1.90,15.76,0.86
6396,92.36,42.43,-1.90,15.76,0.86
6397,92.17,42.39,-1.51,15.74,-0.22
6398,92.02,42.24,-1.51,15.68,-0.22
6399,91.87,41.77,-1.85,15.50,-0.62
6400,91.87,41.20,-1.85,15.27,-0.62
6401,91.92,40.68,-0.60,15.07,-0.98
6402,91.78,40.35,-0.60,14.94,-0.98
6403,91.44,40.30,-0.07,14.92,-1.08
6404,91.00,40.25,-0.07,14.90,-1.08
6405,90.12,40.44,0.36,14.98,0.02
6406,88.65,40.49,0.36,14.99,0.02
6407,86.94,40.58,0.51,15.03,0.99
6408,84.84,40.39,0.51,14.96,0.99
6409,82.21,40.11,-0.69,14.85,0.63
6410,79.47,39.44,-0.69,14.59,0.63
6411,76.84,38.73,-0.32,14.31,-0.32
6412,74.64,37.77,-0.32,13.93,-0.32
6413,73.17,36.72,1.00,13.52,-0.51
6414,72.34,35.61,1.00,13.10,-0.51
6415,72.05,34.60,-1.97,12.71,0.06
6416,71.95,33.92,-1.97,12.45,0.06
6417,71.86,33.97,-1.53,12.46,0.19
6418,71.81,34.45,-1.53,12.65,0.19
6419,71.66,35.03,-1.14,12.87,2.14
6420,71.66,35.71,-1.14,13.13,2.14
6421,71.56,36.00,-3.86,13.25,1.33
6422,71.66,36.14,-3.86,13.30,1.33
6423,71.71,35.95,-3.64,13.23,-0.76
6424,71.76,35.32,-3.64,12.99,-0.76
6425,71.86,34.31,-1.53,12.59,-2.68
6426,72.00,33.10,-1.53,12.13,-2.68
6427,72.05,32.23,1.91,11.79,-1.32
6428,72.05,31.25,1.91,11.42,-1.32
6429,72.00,30.23,0.48,11.03,-0.78
6430,71.90,29.20,0.48,10.64,-0.78
6431,71.86,28.18,-1.38,10.25,-0.14
6432,71.86,27.09,-1.38,9.84,-0.14
6433,71.86,25.81,-1.10,9.36,-0.02
6434,72.00,24.62,-1.10,8.91,-0.02
6435,71.95,23.58,-1.26,8.52,-0.19
6436,72.00,24.13,-1.26,8.73,-0.19
6437,71.71,28.52,-1.02,10.38,6.06
6438,71.51,36.33,-1.02,13.38,6.06
6439,71.37,45.83,-2.06,17.10,5.74
6440,70.93,53.10,-2.06,20.00,5.74
6441,70.44,56.46,-4.08,21.36,4.73
6442,70.24,56.23,-4.08,21.26,4.73
6443,70.15,54.53,-5.34,20.58,-2.93
6444,70.34,52.96,-5.34,19.94,-2.93
6445,70.49,51.66,-0.56,19.42,-3.30
6446,70.83,50.73,-0.56,19.05,-3.30
6447,71.46,50.36,5.16,18.90,-1.55
6448,72.25,49.99,5.16,18.75,-1.55
6449,72.59,49.52,1.23,18.57,-0.93
6450,72.34,49.29,1.23,18.47,-0.93
6451,72.15,49.29,0.29,18.47,1.94
6452,72.00,49.62,0.29,18.60,1.94
6453,71.95,49.66,-1.79,18.62,2.15
6454,72.15,49.71,-1.79,18.64,2.15
6455,72.88,49.71,-3.21,18.64,1.07
6456,74.49,49.62,-3.21,18.60,1.07
6457,76.25,49.29,-3.20,18.47,0.25
6458,77.67,48.82,-3.20,18.29,0.25
6459,78.15,48.17,-2.90,18.03,-0.55
6460,77.76,47.75,-2.90,17.86,-0.55
6461,76.84,47.38,-0.54,17.71,-0.17
6462,75.66,46.91,-0.54,17.52,-0.17
6463,74.59,46.77,-0.15,17.47,0.77
6464,73.96,46.67,-0.15,17.43,0.77
6465,73.91,46.49,-2.30,17.36,1.54
6466,73.91,46.39,-2.30,17.32,1.54
6467,73.86,46.25,-3.20,17.26,0.63
6468,73.61,45.97,-3.20,17.15,0.63
6469,73.12,45.97,-2.77,17.15,0.01
6470,71.95,45.97,-2.77,17.15,0.01
6471,70.29,45.97,-0.51,17.15,0.57
6472,68.05,45.97,-0.51,17.15,0.57
