section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,47455
analyzeCount,1,47456
axleTravelRatio,1,-38.23686643152311
compressionSpeedRatio,1,-25.798806936854767
reboundSpeedRatio,1,-41.871460230046466
section,forkResults
movingCount,1,47455
filterRatio,1,58
timeComp,1,8962
timeReb,1,18793
axleMin,1,21.095000000000002
axleMax,1,159.26749999999998
axleAvg,1,62.511776767838384
axleMovingAvg,1,62.82361371371033
segments,1,1
maxCompressionSpeed,1,3699.5999999999995
avgCompressionSpeed,1,1009.5386111111119
compressionSpeed95,1,2418.0499999999993
maxReboundSpeed,1,1807.7499999999993
avgReboundSpeed,1,617.1058752997606
reboundSpeed95,1,1069.7000000000007
axleTravelTotal,1,67224.82749999268
totalTravelComp,1,19995.784999999996
totalTravelReb,1,28619.27500000002
histogramLPS,42,20,160.0,0,0,563,3939,3356,6621,5737,6059,5369,5103,3713,2935,2106,1038,501,264,111,16,10,4,0,0,563,3939,3356,6621,5737,6059,5369,5103,3713,2935,2106,1038,501,264,111,16,10,4
gforceTotalComp,1,17289.354459009515
gforceTotalReb,1,29162.093039620577
gforceMin,1,-16.0
gforceMax,1,10.44
gforceAbsTotal,1,75271.09466554358
gforceTotalFlat,1,28819.647166913495
travelToForceRatioComp,1,1.1565373968939687
travelToForceRatioReb,1,0.9813861769495397
travelToForceRatioAll,1,0.8931028278344649
vibrationCompression,1,1.929184831400303
vibrationRebound,1,1.5517529420327025
vibrationOverall,1,1.5861238761282785
forceBreakdownTable,9,1.642536528244083,75.52848074381056,48.02793236759028,78.12260430265408,24.365001960340134,44.37372702300168,20.234859169101828,0.10651729584930404,7.5983406094080435
invalidSamples,1,5
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
131,163,49.73,96.21,0.98,706.25,713.00,74.93
167,183,96.12,107.21,1.49,260.60,285.50,99.31
343,361,52.78,74.44,0.79,387.30,400.50,66.55
530,544,31.41,97.59,2.83,2177.95,2383.00,52.32
573,586,66.18,86.06,2.47,623.60,647.00,77.87
650,661,37.49,60.83,1.50,769.65,808.50,49.25
671,682,53.39,68.75,0.62,419.45,437.00,58.88
689,705,65.00,124.25,2.25,1890.35,1977.50,90.83
778,796,24.90,75.75,1.63,1180.90,1279.00,36.20
810,831,50.24,114.10,2.61,974.35,991.00,80.61
883,901,32.89,87.30,1.39,1290.45,1387.50,47.67
964,977,32.27,99.34,3.54,2039.65,2231.50,56.12
1080,1090,73.79,96.39,4.22,909.55,979.00,84.48
1169,1183,86.61,98.87,2.25,390.90,417.00,92.06
1285,1302,28.44,84.00,2.42,2013.15,2167.50,54.79
1461,1475,60.88,88.71,1.21,631.45,644.50,77.29
1511,1530,63.25,103.98,2.52,812.15,860.00,76.14
1872,1884,25.87,40.92,1.29,618.05,666.50,33.30
1910,1924,45.65,92.64,3.01,1090.00,1181.50,57.05
2000,2012,38.99,88.79,4.83,1672.45,1760.50,63.01
2028,2049,59.71,93.12,2.49,605.55,681.00,65.32
2122,2133,69.78,81.17,1.40,370.60,388.00,74.51
2232,2258,30.14,72.53,1.23,919.80,988.50,59.98
2261,2273,72.15,88.07,2.42,618.60,666.00,79.10
2299,2322,41.91,81.23,1.07,587.65,601.00,68.09
2492,2502,22.59,77.55,3.46,2259.95,2436.50,51.24
2529,2544,64.57,117.13,3.98,1646.65,1780.00,82.07
2611,2644,30.50,64.56,1.08,378.90,388.50,53.97
2816,2843,55.43,79.75,1.32,391.55,405.50,63.64
2946,2979,33.16,75.97,0.56,474.50,492.50,55.66
3031,3045,39.21,57.14,1.17,601.75,632.50,47.31
3068,3092,54.74,72.92,0.57,423.45,454.50,67.22
3161,3194,25.43,82.45,0.97,643.25,674.00,33.59
3269,3285,34.50,70.21,1.39,820.35,862.50,59.18
3318,3339,50.66,72.04,0.82,391.95,412.50,65.52
3528,3541,45.35,102.72,2.52,1887.00,2038.50,66.03
3659,3670,36.12,63.27,2.47,810.60,874.50,44.76
3696,3715,65.96,84.61,1.11,390.60,412.50,70.13
3744,3754,35.80,74.23,2.82,1331.25,1431.00,48.15
3783,3800,51.65,77.53,0.86,455.30,464.00,67.41
3864,3888,44.46,85.73,1.02,842.00,869.00,56.78
3942,3960,29.37,89.68,2.71,2005.75,2182.00,49.19
3999,4044,45.00,95.66,1.84,528.25,559.00,83.48
4174,4195,67.75,133.16,2.80,1634.70,1726.50,97.80
4310,4328,31.70,53.98,0.86,690.05,740.00,43.27
4384,4421,34.81,75.45,1.28,618.20,635.00,58.47
4452,4468,50.32,74.07,1.39,611.25,642.00,65.76
4500,4521,49.97,67.72,0.78,370.65,381.00,58.12
4568,4582,35.09,62.37,1.16,643.95,669.00,52.80
4619,4644,29.66,42.91,0.82,272.15,281.00,37.38
4660,4677,40.47,68.01,0.63,745.20,801.00,48.51
4680,4695,67.92,88.59,1.05,577.65,615.00,82.74
4735,4747,74.15,86.17,1.87,530.30,584.00,80.96
4828,4840,43.90,69.04,1.16,631.00,664.00,51.99
4955,4965,88.61,99.71,6.24,362.75,390.50,95.18
5116,5130,49.68,64.24,0.77,333.05,347.00,59.20
5259,5273,36.22,77.29,1.59,944.00,981.50,47.32
5307,5322,82.06,109.55,1.55,780.50,810.50,95.01
5392,5406,39.51,82.19,2.48,889.45,932.50,71.99
5440,5452,36.73,116.42,3.73,2099.05,2170.00,66.42
5504,5517,62.58,88.25,1.77,877.60,925.00,77.05
5542,5555,70.81,88.42,2.55,584.55,630.00,77.16
5630,5642,52.17,63.21,1.09,348.70,361.00,58.51
5684,5699,49.38,69.99,1.16,451.40,488.00,54.79
5740,5750,55.24,96.19,2.12,1402.65,1474.50,73.77
5873,5886,56.09,71.06,0.97,601.05,649.50,64.38
5919,5929,45.16,58.32,2.40,486.70,515.50,53.18
5985,5995,32.34,122.16,4.32,3539.70,3808.50,75.27
6125,6147,54.64,103.40,2.84,918.95,977.00,87.15
6192,6210,30.83,70.02,1.16,979.90,1010.50,49.48
6287,6306,71.77,102.41,3.13,566.35,617.50,78.61
6437,6447,56.95,94.13,5.36,1140.10,1193.50,70.18
6489,6504,47.12,80.30,4.61,1318.60,1438.00,62.11
6519,6530,82.73,94.40,5.51,450.10,481.00,89.59
6614,6634,49.45,78.22,1.48,894.95,966.50,63.45
6816,6828,62.59,80.31,1.92,587.30,659.00,75.43
6900,6914,38.61,102.13,3.85,1647.25,1748.50,82.22
6951,6964,39.18,82.89,4.92,1344.00,1501.50,51.89
6984,6997,53.38,91.87,1.64,1392.00,1506.00,72.24
7212,7222,23.02,99.65,3.91,3296.00,3576.50,63.03
7242,7258,87.69,127.96,6.10,1146.25,1240.00,108.11
7319,7342,33.48,77.95,2.08,918.40,928.00,55.16
7422,7433,28.12,65.56,2.03,1431.20,1538.00,45.41
7446,7465,51.00,91.41,1.17,802.60,827.50,77.16
7534,7545,53.53,89.44,3.24,1330.50,1455.00,65.78
7567,7577,45.32,78.46,1.38,1110.05,1176.50,64.31
7645,7658,32.59,81.57,3.59,1976.10,2131.50,58.21
7674,7686,63.26,132.38,3.43,2201.80,2285.50,97.27
7794,7805,45.88,63.65,1.69,552.70,571.00,54.51
7811,7832,62.09,106.67,1.63,966.65,1008.50,87.55
7919,7933,26.43,56.47,1.32,719.25,781.50,46.81
7959,7979,41.79,102.26,2.86,1758.30,1870.50,61.93
8025,8051,39.91,87.88,0.84,696.55,718.00,55.42
8121,8134,34.66,80.38,1.42,1215.45,1257.00,63.30
8206,8218,33.84,67.78,2.19,1118.05,1196.50,45.70
8269,8282,39.38,54.91,1.13,350.10,373.50,51.49
8332,8351,46.55,98.12,0.79,1173.05,1218.50,81.81
8433,8446,40.73,69.74,1.04,848.15,884.00,52.19
8479,8499,38.38,74.75,2.36,801.30,844.50,48.11
8521,8533,51.45,64.03,0.76,385.95,400.50,58.84
8614,8634,26.51,78.00,2.18,1263.25,1360.00,38.61
8645,8663,58.09,82.53,3.04,427.70,476.00,62.42
8671,8682,77.58,89.70,2.03,382.55,398.00,84.94
8740,8756,37.88,54.02,0.74,350.80,361.00,43.13
8773,8790,40.12,106.89,3.26,1737.50,1833.50,86.56
8887,8909,33.52,57.70,1.45,748.65,813.00,42.95
8979,8995,27.51,89.35,2.85,1324.35,1335.00,61.44
9025,9045,36.54,100.06,3.03,1625.95,1748.50,55.67
9067,9080,38.81,53.41,1.28,523.75,551.50,47.70
9126,9137,45.27,94.83,2.14,1368.00,1420.50,61.72
9167,9178,42.99,71.54,0.65,897.90,945.00,55.04
9247,9259,30.64,69.41,2.70,1084.30,1123.00,45.74
9449,9460,71.02,94.82,3.92,665.05,710.50,87.91
9545,9561,35.24,52.93,0.83,618.85,661.00,46.41
9587,9603,50.63,120.58,2.92,1029.65,1050.50,66.72
9677,9690,27.73,70.55,1.15,1147.85,1245.50,42.33
9714,9727,29.75,63.68,3.50,1232.80,1364.50,40.93
9756,9766,43.17,64.83,2.38,680.25,708.00,51.79
9773,9792,53.63,92.05,1.76,843.15,886.50,64.88
9809,9821,41.99,96.95,3.98,1826.75,2001.50,57.10
9847,9860,38.84,87.81,2.53,1744.45,1892.50,62.65
9910,9923,68.10,81.73,1.36,440.20,461.50,75.28
10108,10120,34.63,62.38,2.67,973.40,1040.00,46.64
10159,10170,58.35,75.15,2.11,500.90,510.50,66.22
10206,10218,44.80,85.54,2.32,1651.05,1789.50,66.25
10437,10448,65.41,92.40,1.63,989.45,1047.50,79.37
10478,10489,46.69,81.47,3.30,982.20,1003.50,61.37
10519,10533,46.55,76.13,1.48,619.95,669.00,69.96
10595,10607,58.41,88.52,1.56,828.05,845.00,73.48
10660,10670,34.43,82.67,4.20,1860.05,1980.50,58.12
10699,10712,28.01,72.53,2.08,1170.55,1216.00,44.81
10719,10729,63.56,102.34,2.83,1402.25,1491.50,77.85
10741,10756,75.23,115.62,2.93,849.10,866.50,101.41
10789,10799,57.75,69.09,1.32,409.50,439.50,62.18
10838,10858,44.16,57.34,0.24,249.10,271.00,46.69
10926,10939,33.38,58.04,1.00,756.55,796.00,47.04
10942,10963,56.49,86.56,1.44,857.95,905.50,67.38
10983,11004,51.56,72.13,1.01,585.35,615.50,63.96
11039,11058,44.70,120.88,2.08,1333.35,1423.50,106.04
11097,11114,41.52,58.86,1.17,453.20,468.50,48.09
11153,11163,27.29,41.73,1.82,528.05,558.50,34.56
11168,11207,40.98,100.45,1.38,911.80,952.00,84.61
11306,11317,27.54,51.91,1.26,757.75,781.00,39.89
11357,11375,44.56,70.06,0.57,714.25,776.50,50.92
11385,11404,57.02,115.22,2.27,1141.70,1191.50,74.38
11474,11484,36.41,79.34,3.17,1552.30,1652.50,55.62
11527,11537,52.40,93.96,4.25,1649.60,1775.00,73.02
11605,11616,30.08,41.62,0.73,309.85,337.00,32.94
11650,11672,25.52,98.75,2.67,1793.15,1934.00,44.29
11791,11826,30.14,75.20,0.86,754.95,798.00,39.00
11880,11898,50.19,75.30,1.81,585.00,642.00,56.02
12044,12056,27.07,39.86,0.68,405.80,425.00,35.02
12097,12119,35.72,54.24,0.64,278.55,288.00,44.18
12121,12144,54.04,74.08,0.95,310.60,337.00,71.26
12175,12185,68.57,81.48,1.44,477.95,503.00,75.23
12332,12344,43.94,62.49,0.56,622.60,652.00,53.03
12375,12389,34.86,55.96,0.94,560.55,579.00,47.12
12421,12434,46.38,76.65,2.36,876.45,915.00,56.62
12543,12559,51.46,87.35,2.10,677.35,730.00,58.41
13014,13026,32.28,68.90,1.79,1425.60,1533.00,51.30
13054,13069,47.25,63.53,1.47,404.00,429.50,57.32
13097,13109,59.47,94.00,2.76,1369.85,1526.00,71.17
13158,13171,87.47,101.92,2.35,430.90,500.50,98.83
13320,13337,43.45,78.55,2.62,1093.45,1150.00,57.41
13356,13368,55.96,78.52,1.78,679.45,722.50,64.12
13457,13468,30.02,67.29,2.20,1336.95,1416.00,47.87
13498,13511,56.07,80.33,2.23,511.40,525.50,72.46
13653,13667,21.98,82.52,2.41,2088.95,2265.50,43.99
13670,13684,81.98,117.69,2.80,1278.15,1384.50,99.19
13747,13758,24.95,76.84,3.26,1974.20,2114.00,50.11
13770,13792,76.06,104.43,1.92,616.95,637.50,92.44
13829,13844,56.32,67.11,1.37,220.60,236.50,59.10
13978,13991,21.55,110.22,3.42,3116.45,3378.50,52.58
13997,14009,104.73,140.57,3.60,1137.70,1213.00,117.27
14122,14135,74.25,113.94,2.18,1021.10,1040.00,94.93
14258,14274,79.50,113.04,3.10,735.75,759.00,92.01
14302,14319,37.23,116.60,3.75,1335.70,1394.50,100.57
14342,14353,42.08,122.15,5.18,2569.75,2729.50,70.76
