section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,64079
analyzeCount,1,64080
axleTravelRatio,1,-22.32545092214425
compressionSpeedRatio,1,-25.630500895742074
reboundSpeedRatio,1,-19.31014112303949
section,forkResults
movingCount,1,64075
filterRatio,1,38
timeComp,1,8819
timeReb,1,15900
axleMin,1,47.11
axleMax,1,159.76749999999998
axleAvg,1,90.30179748761184
axleMovingAvg,1,93.1509408380908
segments,1,5
maxCompressionSpeed,1,3292.75
avgCompressionSpeed,1,908.3644814090021
compressionSpeed95,1,2090.9500000000003
maxReboundSpeed,1,1613.8499999999995
avgReboundSpeed,1,656.4263707571802
reboundSpeed95,1,1181.0499999999995
axleTravelTotal,1,64906.85249999021
totalTravelComp,1,17443.96499999998
totalTravelReb,1,25636.811250000006
histogramLPS,42,20,160.0,0,0,0,0,0,5,723,5247,11243,9018,7353,7342,5386,5125,3923,3227,2233,1570,891,478,0,0,0,0,0,5,723,5247,11243,9018,7353,7342,5386,5125,3923,3227,2233,1570,891,478
gforceTotalComp,1,14438.088861281101
gforceTotalReb,1,23068.340290922577
gforceMin,1,-16.0
gforceMax,1,13.78
gforceAbsTotal,1,69989.03534523376
gforceTotalFlat,1,32482.60619303008
travelToForceRatioComp,1,1.2081907216113479
travelToForceRatioReb,1,1.111341818556757
travelToForceRatioAll,1,0.9273860138209542
vibrationCompression,1,1.6371571449462639
vibrationRebound,1,1.4508390120077093
vibrationOverall,1,1.0922134105061447
forceBreakdownTable,9,0.0,1.1520775263353586,0.7085856217124543,21.40751772073734,90.14090058327044,63.6820050835531,78.59248227926267,8.707021890394211,35.60940929473445
invalidSamples,1,308
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
13525,13542,109.93,154.18,1.64,966.95,996.50,138.21
13604,13614,65.09,124.26,3.38,1945.80,2077.50,84.56
13644,13657,94.16,125.89,1.41,706.00,734.50,102.57
13779,13789,89.59,101.98,1.37,471.45,510.00,93.93
13804,13816,90.47,103.03,0.78,288.70,310.00,93.28
13896,13908,90.21,102.00,1.19,345.75,397.50,93.66
13924,13937,66.16,112.11,2.69,1686.45,1870.50,79.42
14014,14025,73.05,120.22,3.81,1526.25,1584.00,93.66
14136,14156,107.09,138.32,2.27,885.30,981.00,114.95
14210,14226,68.72,117.21,2.37,1273.10,1328.00,86.44
14238,14252,78.28,94.41,2.40,634.45,683.50,83.83
14265,14299,78.70,139.31,2.66,918.10,971.50,111.07
14344,14366,117.16,155.07,0.63,603.95,620.00,132.75
14468,14480,64.02,83.81,1.40,643.35,676.50,72.01
14519,14529,69.89,87.11,0.47,626.80,664.00,77.59
14534,14548,83.40,113.49,1.65,971.00,1040.00,94.25
14616,14631,110.35,122.92,1.23,337.15,376.00,113.20
14666,14680,116.13,133.44,1.21,704.20,764.50,125.13
14757,14767,82.41,120.23,4.49,1386.35,1472.00,96.65
14792,14812,68.57,133.41,2.00,1161.15,1198.50,111.27
14829,14839,71.97,114.41,3.41,1719.00,1851.00,92.78
14870,14884,67.01,128.19,3.90,2090.95,2231.50,94.87
14973,14983,84.31,109.28,3.79,775.25,810.50,95.38
15012,15031,108.36,142.85,2.17,669.85,715.00,134.91
15130,15143,84.18,107.16,1.15,719.00,759.50,92.98
15171,15185,72.38,117.03,1.86,946.25,1032.50,80.43
15255,15268,82.89,102.84,2.24,843.20,954.50,88.97
15275,15293,82.13,110.09,3.53,962.00,1035.50,94.13
15359,15372,65.22,125.87,3.27,1551.00,1629.00,85.94
15534,15544,79.96,147.06,5.14,2481.15,2617.50,112.87
15631,15647,61.84,140.25,3.37,2795.70,2968.50,94.66
15680,15691,107.86,154.88,2.79,1503.40,1543.00,130.46
15750,15763,126.92,146.80,2.67,659.95,742.00,140.07
15855,15877,90.36,105.23,0.88,336.50,356.00,101.33
