section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,57623
analyzeCount,1,57624
axleTravelRatio,1,-32.244284516319745
compressionSpeedRatio,1,-34.02914392592874
reboundSpeedRatio,1,-36.32234863295596
section,forkResults
movingCount,1,57623
filterRatio,1,44
timeComp,1,7896
timeReb,1,17757
axleMin,1,16.89
axleMax,1,157.46
axleAvg,1,56.793698805169264
axleMovingAvg,1,61.49107722584353
segments,1,1
maxCompressionSpeed,1,3456.5999999999995
avgCompressionSpeed,1,988.9522494887524
compressionSpeed95,1,2181.9499999999994
maxReboundSpeed,1,1593.9999999999998
avgReboundSpeed,1,625.6517159763314
reboundSpeed95,1,1071.4499999999998
axleTravelTotal,1,68321.31749999091
totalTravelComp,1,17090.8225
totalTravelReb,1,27365.253749999985
histogramLPS,42,20,160.0,0,0,6929,2773,7087,7002,6115,6222,5375,4864,4200,3072,1924,1246,493,198,72,33,14,4,0,0,6929,2773,7087,7002,6115,6222,5375,4864,4200,3072,1924,1246,493,198,72,33,14,4
gforceTotalComp,1,15147.528726919301
gforceTotalReb,1,28021.62313654045
gforceMin,1,-16.0
gforceMax,1,11.42
gforceAbsTotal,1,79821.30549076249
gforceTotalFlat,1,36652.153627302745
travelToForceRatioComp,1,1.1282911429391904
travelToForceRatioReb,1,0.9765763252420395
travelToForceRatioAll,1,0.8559283399329713
vibrationCompression,1,1.9183800312714414
vibrationRebound,1,1.5780606598265725
vibrationOverall,1,1.3852093830827865
forceBreakdownTable,9,1.8808285999275156,69.45901514127318,45.74665393515458,83.26553101953903,30.451768155275623,48.98347321849896,14.853640380533461,0.08921670345119176,5.269872846346456
invalidSamples,1,1
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
6129,6246,20.99,40.19,0.20,71.05,73.00,30.18
6389,6448,29.09,48.96,0.10,114.30,117.00,35.80
7048,7082,49.23,62.92,0.36,255.70,268.00,59.62
7144,7157,44.17,60.66,0.60,397.95,412.50,55.60
7307,7320,26.80,62.52,1.66,987.45,1069.50,37.37
7343,7358,58.82,77.83,1.46,569.65,629.50,64.45
7528,7542,36.66,82.22,1.58,1035.35,1059.50,65.29
7614,7626,51.43,89.11,4.61,1605.90,1801.50,64.82
7646,7656,72.62,85.66,1.82,460.85,491.00,80.78
7909,7919,23.82,93.05,3.50,2468.25,2598.00,61.44
7938,7959,53.31,87.77,2.77,641.30,678.50,79.75
8264,8277,31.43,124.45,4.16,3126.60,3379.50,64.43
8405,8429,85.64,101.91,0.91,364.00,395.50,90.03
8602,8619,56.95,69.41,0.28,265.10,269.00,61.98
8803,8831,38.67,60.30,0.47,438.20,456.50,45.85
8959,8980,44.42,62.77,0.98,525.40,574.00,50.05
9104,9127,34.59,77.38,2.01,884.60,950.00,65.39
9231,9241,25.08,77.98,2.92,2102.65,2270.50,47.00
9260,9277,54.14,91.12,2.05,692.60,720.50,66.15
9317,9365,40.46,83.23,0.80,397.70,410.00,52.39
9417,9439,41.84,66.32,0.48,322.15,332.50,46.43
9494,9518,26.78,68.85,1.53,609.65,623.00,58.20
9590,9602,42.00,78.22,3.94,1174.10,1272.50,54.17
9808,9820,88.47,111.28,4.12,604.55,689.00,94.34
9885,9897,56.51,90.51,4.46,918.90,1023.00,80.44
10041,10052,40.53,64.49,2.29,521.15,561.50,44.95
10063,10073,40.97,95.89,3.84,1931.15,2063.00,62.72
10186,10200,42.51,92.52,2.82,2022.05,2226.50,59.38
10233,10250,83.87,103.81,2.80,755.25,813.00,94.26
10281,10298,88.89,99.40,1.94,245.65,283.00,91.26
