Time,Front Axle,Rear Axle,Front Force,Rear Sensor,Rear Force
6118,32.01,24.43,-0.11,8.84,0.00
6119,33.57,24.53,-0.11,8.87,0.00
6120,36.50,24.77,-1.88,8.97,0.17
6121,39.87,25.17,-1.88,9.12,0.17
6122,42.90,25.76,-3.16,9.34,0.98
6123,45.49,26.40,-3.16,9.58,0.98
6124,47.69,27.24,-1.92,9.90,1.92
6125,49.49,27.98,-1.92,10.18,1.92
6126,51.25,28.76,-0.78,10.47,1.46
6127,53.11,29.30,-0.78,10.68,1.46
6128,54.96,29.89,-0.45,10.90,0.30
6129,56.57,30.13,-0.45,10.99,0.30
6130,57.94,30.48,-1.17,11.12,-0.04
6131,58.96,30.67,-1.17,11.20,-0.04
6132,59.70,31.01,-1.72,11.33,0.67
6133,60.23,31.45,-1.72,11.50,0.67
6134,60.97,32.13,-1.75,11.76,1.24
6135,61.65,33.00,-1.75,12.09,1.24
6136,62.58,34.12,-1.47,12.52,1.41
6137,63.60,35.23,-1.47,12.95,1.41
6138,64.68,36.28,-1.42,13.36,1.00
6139,65.70,37.20,-1.42,13.71,1.00
6140,66.78,37.87,-1.80,13.97,0.87
6141,67.66,38.39,-1.80,14.18,0.87
6142,68.39,38.87,-1.72,14.36,0.77
6143,69.07,39.16,-1.72,14.47,0.77
6144,69.61,39.44,-1.50,14.59,0.69
6145,70.10,39.78,-1.50,14.72,0.69
6146,70.39,40.16,-1.43,14.86,0.98
6147,70.44,40.58,-1.43,15.03,0.98
6148,70.49,41.11,-1.21,15.24,0.83
6149,70.44,41.68,-1.21,15.46,0.83
6150,70.44,42.01,-1.13,15.59,0.67
6151,70.44,42.81,-1.13,15.91,0.67
6152,70.44,43.66,-0.65,16.24,1.27
6153,70.49,44.46,-0.65,16.56,1.27
6154,70.44,45.03,-1.08,16.78,0.77
6155,70.63,45.59,-1.08,17.00,0.77
6156,71.22,45.83,-1.60,17.10,0.69
6157,72.10,45.92,-1.60,17.13,0.69
6158,72.88,45.83,-2.04,17.10,-0.20
6159,73.52,45.59,-2.04,17.00,-0.20
6160,73.76,44.89,-1.55,16.72,-0.75
6161,73.86,44.04,-1.55,16.39,-0.75
6162,73.71,42.86,-0.43,15.92,-1.31
6163,73.37,41.44,-0.43,15.37,-1.31
6164,72.64,39.97,-0.35,14.79,-1.17
6165,71.32,38.25,-0.35,14.12,-1.17
6166,69.61,36.33,-0.55,13.38,-1.06
6167,67.80,34.45,-0.55,12.65,-1.06
6168,66.14,33.58,-0.88,12.32,2.94
6169,65.07,33.97,-0.88,12.46,2.94
6170,64.04,35.42,-2.89,13.02,5.10
6171,62.87,37.43,-2.89,13.80,5.10
6172,61.80,38.96,-1.79,14.40,2.77
6173,60.62,39.54,-1.79,14.62,2.77
6174,59.70,38.96,-2.13,14.40,-0.21
6175,58.87,37.77,-2.13,13.93,-0.21
6176,58.33,36.43,-0.50,13.41,-1.96
6177,57.89,35.03,-0.50,12.87,-1.96
6178,57.50,33.78,-0.04,12.39,-2.06
6179,57.11,32.71,-0.04,11.98,-2.06
6180,56.52,32.18,-1.11,11.78,-0.32
6181,55.79,31.98,-1.11,11.70,-0.32
6182,54.77,32.13,-1.03,11.76,1.21
6183,53.64,32.42,-1.03,11.87,1.21
6184,52.13,32.81,-0.32,12.02,1.44
6185,50.47,33.00,-0.32,12.09,1.44
6186,48.42,33.05,1.11,12.11,-0.11
6187,46.37,33.05,1.11,12.11,-0.11
6188,44.22,32.66,1.14,11.96,-0.85
6189,42.46,32.28,1.14,11.81,-0.85
6190,41.14,31.69,-1.45,11.59,-0.70
6191,40.41,31.30,-1.45,11.44,-0.70
6192,40.12,30.96,-3.48,11.31,0.45
6193,40.12,30.82,-3.48,11.26,0.45
6194,40.12,30.77,-3.11,11.24,1.46
6195,40.12,30.72,-3.11,11.22,1.46
6196,40.17,30.72,-1.46,11.22,1.31
6197,40.26,30.77,-1.46,11.24,1.31
6198,40.46,30.77,-0.78,11.24,0.17
6199,40.56,30.82,-0.78,11.26,0.17
6200,40.51,30.87,-0.63,11.27,-0.24
6201,40.56,30.87,-0.63,11.27,-0.24
6202,40.56,30.87,-0.91,11.27,0.15
6203,40.46,30.96,-0.91,11.31,0.15
6204,40.36,30.91,-0.89,11.29,0.72
6205,40.36,30.96,-0.89,11.31,0.72
6206,40.41,31.11,-1.15,11.37,1.13
6207,40.56,31.30,-1.15,11.44,1.13
6208,41.19,31.50,-1.51,11.52,0.89
6209,42.46,31.60,-1.51,11.55,0.89
6210,44.02,31.69,-1.32,11.59,0.44
6211,45.59,31.84,-1.32,11.65,0.44
6212,46.61,31.94,-1.47,11.68,0.65
6213,46.95,32.13,-1.47,11.76,0.65
6214,46.76,32.23,0.58,11.79,0.70
6215,46.12,32.28,0.58,11.81,0.70
6216,45.24,32.32,1.69,11.83,0.52
6217,44.07,32.37,1.69,11.85,0.52
6218,42.85,32.32,1.26,11.83,0.40
6219,41.73,32.32,1.26,11.83,0.40
6220,40.61,32.32,0.96,11.83,0.64
6221,39.68,32.28,0.96,11.81,0.64
6222,39.29,32.23,0.06,11.79,0.55
6223,39.34,32.08,0.06,11.74,0.55
6224,40.17,31.98,-2.16,11.70,0.79
6225,41.78,31.89,-2.16,11.66,0.79
6226,43.78,31.79,-2.48,11.63,1.16
6227,46.03,31.84,-2.48,11.65,1.16
6228,48.37,32.13,-2.40,11.76,1.81
6229,50.52,32.62,-2.40,11.94,1.81
6230,52.86,33.44,-1.19,12.26,1.52
6231,55.30,34.41,-1.19,12.63,1.52
6232,57.94,35.18,-2.04,12.93,0.98
6233,60.33,35.71,-2.04,13.13,0.98
