section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,101239
analyzeCount,1,101240
axleTravelRatio,1,-37.31052925235384
compressionSpeedRatio,1,-38.276561678137526
reboundSpeedRatio,1,-38.03337511434489
section,forkResults
movingCount,1,101237
filterRatio,1,52
timeComp,1,19131
timeReb,1,34343
axleMin,1,11.75
axleMax,1,147.6475
axleAvg,1,53.633706067130866
axleMovingAvg,1,54.889196935167725
segments,1,3
maxCompressionSpeed,1,3712.2
avgCompressionSpeed,1,926.0875466417908
compressionSpeed95,1,2392.2499999999995
maxReboundSpeed,1,1815.3500000000001
avgReboundSpeed,1,587.4165140614791
reboundSpeed95,1,1087.2999999999995
axleTravelTotal,1,121816.7924999854
totalTravelComp,1,37630.02749999995
totalTravelReb,1,49733.44750000002
histogramLPS,42,20,160.0,0,3849,4690,7811,11914,15487,15688,12424,9436,6860,5163,3514,2195,1204,604,274,66,46,9,0,0,3849,4690,7810,11915,15487,15688,12424,9436,6860,5163,3514,2195,1204,604,274,66,46,9,0
gforceTotalComp,1,30139.350877669753
gforceTotalReb,1,45801.44948920284
gforceMin,1,-16.0
gforceMax,1,12.24
gforceAbsTotal,1,134882.3680225994
gforceTotalFlat,1,58941.56765572681
travelToForceRatioComp,1,1.2485347694691076
travelToForceRatioReb,1,1.085848767989845
travelToForceRatioAll,1,0.9031335547102429
vibrationCompression,1,1.5754195221195835
vibrationRebound,1,1.333647307725092
vibrationOverall,1,1.3323031215191565
forceBreakdownTable,9,8.832265298721275,82.67106121998499,53.36595292636187,75.41982137981259,17.196560128842126,40.30418200809121,15.74791332146613,0.13237865117286002,6.329865065546925
invalidSamples,1,0
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
267,291,42.31,61.20,0.30,319.05,327.00,50.07
304,339,47.33,70.74,0.92,501.10,520.00,61.41
382,401,22.08,41.76,0.39,477.05,498.50,33.08
426,439,39.03,75.04,2.18,1334.90,1440.50,53.89
487,517,24.31,66.14,0.91,843.50,903.50,32.99
547,566,54.47,90.13,1.09,907.20,957.00,77.29
598,619,50.08,114.92,2.10,1167.45,1210.50,69.03
703,737,39.53,92.08,0.89,610.85,615.50,73.24
785,825,22.40,75.16,0.95,636.55,644.50,39.30
840,853,34.14,44.60,1.85,305.75,339.50,36.67
875,886,24.34,66.16,2.21,1632.95,1748.00,43.33
894,908,60.63,100.32,1.41,850.55,872.00,75.77
986,999,31.13,65.67,0.79,768.90,808.50,57.23
1032,1049,20.99,67.39,1.56,1616.65,1711.00,42.37
1074,1099,48.27,79.74,2.04,651.15,688.50,60.48
1136,1174,37.50,120.01,1.24,1176.15,1269.00,50.34
1258,1289,36.07,88.60,0.91,865.95,910.50,57.71
1410,1425,49.19,63.29,1.05,416.60,437.00,54.23
1445,1458,30.08,41.75,1.05,294.00,303.00,37.31
1557,1569,37.09,64.37,1.91,789.20,810.50,51.45
1596,1624,45.98,91.12,1.18,771.00,798.00,79.31
1668,1700,45.49,65.30,0.91,355.65,376.50,54.97
1779,1789,60.32,71.00,0.92,371.20,388.00,64.98
1881,1910,23.39,83.06,1.56,1328.25,1423.50,43.48
1941,1970,28.18,113.14,1.84,1146.10,1267.00,103.85
2164,2186,20.32,74.67,2.06,1413.85,1504.00,36.71
2194,2213,67.55,100.14,1.84,697.40,764.00,75.45
2263,2291,39.97,71.31,0.47,429.20,434.00,55.39
2417,2449,22.79,138.80,2.30,1840.85,1931.00,114.33
2559,2583,31.24,91.10,1.95,811.80,825.00,73.65
2649,2667,30.26,78.64,1.10,914.05,959.50,65.27
2721,2735,41.41,82.57,2.03,855.85,889.00,51.15
2806,2831,29.59,85.74,1.51,999.25,1025.50,45.91
