section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,79975
analyzeCount,1,79976
axleTravelRatio,1,-16.343633294192422
compressionSpeedRatio,1,-24.498476567988696
reboundSpeedRatio,1,-13.17771863266818
section,forkResults
movingCount,1,79974
filterRatio,1,53
timeComp,1,16843
timeReb,1,26188
axleMin,1,47.315
axleMax,1,159.6575
axleAvg,1,89.86256654766686
axleMovingAvg,1,90.22207805538117
segments,1,2
maxCompressionSpeed,1,3846.2000000000003
avgCompressionSpeed,1,863.8024110218131
compressionSpeed95,1,2206.2500000000005
maxReboundSpeed,1,1790.1000000000015
avgReboundSpeed,1,586.162402088773
reboundSpeed95,1,1111.0000000000002
axleTravelTotal,1,90068.22249998778
totalTravelComp,1,29985.68625000003
totalTravelReb,1,37284.42874999999
histogramLPS,42,20,160.0,0,0,0,0,0,90,2489,7833,6190,8459,13034,12582,10357,7425,4978,2845,1730,947,562,309,0,0,0,0,0,90,2489,7833,6190,8459,13034,12582,10357,7425,4978,2845,1730,947,562,309
gforceTotalComp,1,24202.84816584558
gforceTotalReb,1,32571.246196133106
gforceMin,1,-16.0
gforceMax,1,15.87
gforceAbsTotal,1,93884.4008108527
gforceTotalFlat,1,37110.30644887401
travelToForceRatioComp,1,1.23893213081901
travelToForceRatioReb,1,1.144703783376469
travelToForceRatioAll,1,0.9593523708102125
vibrationCompression,1,1.4369677709342503
vibrationRebound,1,1.2437469908405798
vibrationOverall,1,1.173907182290346
forceBreakdownTable,9,0.0,5.775112962239778,3.3131770434644334,31.323179560738417,89.55844039791533,64.73269563210337,68.67682043926159,4.66644663984489,31.9541273244322
invalidSamples,1,136
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
563,597,83.35,106.77,0.22,232.55,246.50,103.49
662,701,80.08,102.60,0.64,235.40,249.50,84.86
736,774,77.91,103.83,0.44,296.50,298.00,97.78
834,845,81.05,94.29,1.00,420.15,435.00,87.65
851,865,92.48,108.98,1.37,598.50,630.00,102.17
918,928,69.97,108.62,2.44,1371.05,1448.00,87.52
937,950,85.62,113.10,2.44,795.05,869.00,93.70
1002,1019,63.49,153.51,2.93,3404.65,3628.00,108.66
1036,1047,103.86,129.50,2.57,753.60,781.50,120.05
1114,1128,62.08,108.28,2.48,1751.05,1892.50,80.05
1142,1160,101.39,152.04,1.87,1292.35,1321.00,126.27
1199,1210,61.45,76.94,0.57,609.10,656.50,69.22
1245,1257,61.36,93.87,1.57,1166.35,1247.50,73.09
1270,1288,80.38,122.95,2.60,926.00,962.00,93.95
1315,1336,89.93,131.51,1.78,923.90,959.00,102.64
1404,1419,57.91,105.15,2.09,1381.45,1472.50,74.39
1485,1507,85.87,116.55,0.89,551.60,573.50,99.98
1511,1523,115.49,158.26,1.84,971.35,1015.00,146.50
1597,1647,65.20,135.16,0.82,632.55,666.00,91.05
1726,1748,81.30,96.65,0.38,287.95,302.50,86.84
1806,1836,83.44,99.18,0.74,219.55,232.00,92.49
1845,1867,93.46,105.97,0.88,301.20,315.00,97.94
1917,1932,60.78,105.74,1.52,1520.85,1638.00,80.92
1939,1961,100.17,131.88,2.20,631.30,668.50,107.24
2002,2028,92.22,106.41,0.83,226.15,232.00,101.49
2201,2212,70.28,96.29,1.90,1033.95,1131.00,80.67
2256,2268,79.85,100.36,0.67,605.10,630.00,88.71
2283,2295,110.17,153.47,3.15,1228.70,1277.00,127.97
2670,2690,69.69,116.39,2.41,1042.90,1135.00,79.33
2747,2786,62.67,156.93,1.21,1531.70,1643.00,140.69
2883,2894,60.70,81.00,1.10,825.85,889.00,71.34
2901,2922,79.64,122.16,1.49,918.60,987.00,90.36
2948,2964,68.35,79.60,1.36,236.70,249.00,72.40
2996,3013,76.00,96.95,0.97,331.15,361.00,78.87
3018,3028,92.18,111.93,1.64,719.45,771.50,100.43
3068,3090,79.20,116.03,1.41,704.10,735.00,87.29
3152,3166,69.14,108.35,1.29,1095.00,1186.50,78.80
3214,3239,106.83,145.72,1.66,631.95,657.00,136.51
3370,3392,57.54,103.24,1.19,1081.00,1150.00,72.69
3404,3421,92.46,129.70,1.68,807.80,842.00,102.56
3474,3496,71.61,97.62,1.78,471.30,483.00,83.32
3500,3521,96.69,120.87,1.08,457.85,467.00,111.84
3590,3617,87.57,119.75,0.87,882.00,918.00,106.72
3630,3647,123.26,149.41,2.01,648.65,662.00,138.82
3792,3817,57.64,96.74,1.04,1011.40,1042.00,73.36
