section,tlv
ResultsVersion,1,2
minTime,1,10
minTravel,1,10
traceTimeStr,1,
indexStart,1,0
indexEnd,1,47915
analyzeCount,1,47916
axleTravelRatio,1,-25.55633850158374
compressionSpeedRatio,1,-14.889010622499375
reboundSpeedRatio,1,-25.02045121751109
section,forkResults
movingCount,1,47914
filterRatio,1,55
timeComp,1,10094
timeReb,1,16565
axleMin,1,13.51
axleMax,1,156.9875
axleAvg,1,57.15946667084272
axleMovingAvg,1,57.333815126595404
segments,1,2
maxCompressionSpeed,1,4232.45
avgCompressionSpeed,1,1063.762748643761
compressionSpeed95,1,2585.4500000000003
maxReboundSpeed,1,1872.7
avgReboundSpeed,1,723.2816872427991
reboundSpeed95,1,1325.3000000000004
axleTravelTotal,1,66752.86249999341
totalTravelComp,1,22842.931249999987
totalTravelReb,1,28929.557500000006
histogramLPS,42,20,160.0,0,230,3292,8544,3381,4822,4385,4360,4942,4129,3314,2548,1706,1129,644,300,84,74,27,5,0,230,3292,8544,3381,4822,4385,4360,4942,4129,3314,2548,1706,1129,644,300,84,74,27,5
gforceTotalComp,1,18659.70965523013
gforceTotalReb,1,23668.711604056847
gforceMin,1,-16.03
gforceMax,1,10.89
gforceAbsTotal,1,67086.7806711723
gforceTotalFlat,1,24758.359411885318
travelToForceRatioComp,1,1.2241847098407204
travelToForceRatioReb,1,1.2222700577855468
travelToForceRatioAll,1,0.9950225936043109
vibrationCompression,1,1.8485941802288617
vibrationRebound,1,1.4288386117752399
vibrationOverall,1,1.400091423974712
forceBreakdownTable,9,4.528304204218538,80.05769294446966,46.761944546556606,71.14133971868239,19.51889744071519,42.275706127252306,24.33035607709905,0.423409614815141,10.962349326191074
invalidSamples,1,0
section,ForkStrokeUp
# t1,t2,p1,p2,gforce,slope3,slopeMax,pMaxSpeed
50,79,48.53,85.21,0.57,423.95,434.00,55.39
150,180,46.94,76.41,0.32,427.85,441.50,68.76
243,260,50.64,62.02,0.35,209.80,217.00,59.25
262,283,61.91,84.68,0.87,517.10,542.00,68.64
348,369,56.48,73.23,0.62,330.90,342.00,67.66
412,449,45.82,70.19,0.39,323.30,339.50,65.79
627,643,24.59,110.62,1.83,2786.80,2993.50,60.89
720,736,34.99,48.17,0.89,268.70,293.00,37.67
804,816,31.01,89.40,3.86,1916.95,2068.00,50.92
836,848,40.34,108.89,2.67,2741.85,2949.00,75.08
1029,1051,41.92,99.09,2.35,1201.35,1225.50,68.72
1091,1103,34.65,103.24,3.44,2561.95,2761.00,69.11
1115,1142,57.50,105.11,2.25,836.00,911.00,64.85
1182,1192,30.62,43.76,1.57,530.40,571.50,36.99
1194,1211,43.63,80.39,1.59,1356.00,1447.50,62.14
1239,1254,73.66,88.32,0.78,527.70,576.00,82.57
1410,1421,84.45,112.28,3.54,1025.00,1110.50,99.19
1479,1490,80.29,121.96,3.71,1506.40,1616.50,95.56
1587,1597,27.52,91.55,3.23,2631.00,2883.00,53.56
1677,1689,34.68,76.41,1.48,1462.90,1562.50,49.96
1697,1719,72.02,139.62,2.97,1274.80,1321.00,115.18
1777,1791,34.13,73.99,0.77,992.95,1069.00,44.39
1851,1864,45.95,76.84,3.14,645.65,720.50,51.61
1865,1883,76.80,91.03,2.53,213.15,225.00,84.76
1942,1957,26.00,55.33,1.38,930.20,981.50,37.38
1960,1981,53.78,124.38,3.66,1592.85,1660.50,81.63
2027,2040,38.93,53.11,0.83,368.85,393.00,42.62
2054,2074,43.29,99.74,1.04,1020.50,1086.50,88.76
2137,2177,44.34,97.03,1.23,613.30,632.50,69.37
2247,2257,29.07,44.10,2.63,532.90,566.50,34.83
2271,2289,45.87,156.99,3.07,2641.15,2737.00,84.53
2306,2317,88.69,128.19,2.49,1331.90,1394.00,108.30
2374,2385,31.54,48.53,1.36,487.05,498.00,39.08
2405,2424,26.14,90.34,0.76,1625.80,1733.50,50.48
2438,2457,69.99,98.97,1.15,541.70,561.50,91.08
2545,2590,46.76,105.66,0.72,456.95,468.50,88.26
2668,2684,25.48,80.84,2.47,1827.45,1965.00,43.16
2697,2720,63.81,92.13,1.18,490.60,512.50,79.74
2781,2795,32.71,84.64,1.98,1566.65,1670.00,51.71
2912,2922,26.63,67.95,2.00,1624.50,1761.00,43.08
2940,2968,51.13,103.51,2.09,801.10,820.00,69.21
3078,3088,33.28,57.17,0.91,783.05,815.00,44.28
3090,3100,56.77,74.54,1.80,721.10,779.00,65.88
3134,3146,53.86,74.36,1.80,472.30,478.00,60.53
3253,3266,25.98,135.03,3.99,4029.70,4304.50,72.36
3286,3301,85.43,113.44,1.66,646.90,694.00,94.06
3343,3361,35.44,68.07,0.52,628.90,640.00,55.85
3364,3376,66.48,92.36,1.65,790.60,839.50,75.50
3377,3387,92.32,102.46,2.54,304.85,324.50,99.06
3406,3416,21.91,57.33,1.61,1468.00,1589.50,38.70
3434,3453,29.57,75.62,2.28,1060.35,1147.50,47.47
3474,3485,36.69,57.12,0.58,498.00,525.00,51.75
3543,3566,28.84,66.75,2.09,932.45,1020.50,39.71
3574,3589,58.78,76.20,2.16,347.00,378.50,73.29
3646,3662,26.19,70.84,1.75,1350.60,1435.50,45.02
3667,3691,60.82,97.82,1.65,675.90,732.00,68.63
3839,3853,23.98,100.38,1.83,2129.45,2297.00,47.57
3866,3886,39.33,124.21,5.02,1652.85,1695.00,64.11
3967,3987,46.75,104.20,1.93,981.10,1013.50,67.92
4052,4067,28.05,87.66,3.67,2143.05,2341.50,48.49
4070,4088,87.29,111.75,1.63,624.65,693.50,93.70
4138,4186,27.39,141.69,2.02,1695.85,1811.50,124.85
4208,4218,53.04,64.74,1.32,397.00,430.00,56.78
